timestamp_iso8601,timestamp_epoch_ms,remote_ip,remote_port,payload
2025-10-24T08:54:38.553Z,1761296078553,10.0.0.191,3132,"344851,52906,4,EM,1,100,RS,RE,PS,MN
"
2025-10-24T08:54:38.555Z,1761296078555,10.0.0.191,3132,"344851,52906,4,EM,1,100,RS,RE,PS,MN
344830,52907,1,SF,1,100,0.0000
344858,52908,2,PI,1,100,6389,6395
344858,52909,2,PR,1,100,7286,7278
344858,52910,2,PG,1,100,1020,1049
344830,52911,1,EA,1,100,0.030305
344830,52912,1,EL,1,100,26438.000000
344844,52913,2,AX,1,100,0.095,0.094
344844,52914,2,AY,1,100,-0.013,-0.014
344844,52915,2,AZ,1,100,1.028,1.027
344844,52916,2,GX,1,100,0.488,0.488
344844,52917,2,GY,1,100,0.610,0.641
344844,52918,2,GZ,1,100,0.366,0.336
344844,52919,2,MX,1,100,-9,-9
"
2025-10-24T08:54:38.560Z,1761296078560,10.0.0.191,3132,"344844,52920,2,MY,1,100,-18,-17
344844,52921,2,MZ,1,100,115,117
"
2025-10-24T08:54:38.759Z,1761296078759,10.0.0.191,3132,"344978,52922,3,PI,1,100,6379,6376,6405
344978,52923,3,PR,1,100,7282,7289,7277
344978,52924,3,PG,1,100,1035,1050,1048
344963,52925,2,EA,1,100,0.030305,0.030305
344963,52926,2,EL,1,100,26438.000000,26438.000000
344890,52927,1,T1,1,100,31.950
344905,52928,1,TH,1,100,30.120
344964,52929,3,AX,1,100,0.096,0.097,0.097
344964,52930,3,AY,1,100,-0.014,-0.012,-0.014
344964,52931,3,AZ,1,100,1.028,1.027,1.026
344964,52932,3,GX,1,100,0.427,0.458,0.519
344964,52933,3,GY,1,100,0.671,0.702,0.671
"
2025-10-24T08:54:38.760Z,1761296078760,10.0.0.191,3132,"344964,52934,3,GZ,1,100,0.336,0.305,0.336
344964,52935,3,MX,1,100,-9,-8,-9
344964,52936,3,MY,1,100,-17,-18,-17
344964,52937,3,MZ,1,100,118,116,116
"
2025-10-24T08:54:38.760Z,1761296078760,10.0.0.191,3132,"345052,52938,4,EM,1,100,RS,RE,PS,MN
"
2025-10-24T08:54:38.760Z,1761296078760,10.0.0.191,3132,"345052,52938,4,EM,1,100,RS,RE,PS,MN
345058,52939,2,PI,1,100,6380,6392
345058,52940,2,PR,1,100,7276,7282
345058,52941,2,PG,1,100,1039,1035
345030,52942,1,EA,1,100,0.030305
345030,52943,1,EL,1,100,26438.000000
345023,52944,1,T1,1,100,32.014
345038,52945,1,TH,1,100,30.221
345084,52946,3,AX,1,100,0.096,0.097,0.095
345084,52947,3,AY,1,100,-0.013,-0.014,-0.013
345084,52948,3,AZ,1,100,1.027,1.024,1.027
345084,52949,3,GX,1,100,0.458,0.427,0.488
345084,52950,3,GY,1,100,0.671,0.641,0.671
"
2025-10-24T08:54:38.761Z,1761296078761,10.0.0.191,3132,"345084,52951,3,GZ,1,100,0.305,0.336,0.305
345084,52952,3,MX,1,100,-9,-9,-10
345084,52953,3,MY,1,100,-17,-17,-17
345084,52954,3,MZ,1,100,117,115,116
"
2025-10-24T08:54:38.963Z,1761296078963,10.0.0.191,3132,"345163,52955,1,SF,1,100,0.0000
345178,52956,3,PI,1,100,6382,6391,6388
345178,52957,3,PR,1,100,7293,7280,7287
345178,52958,3,PG,1,100,1050,1039,1055
345163,52959,2,EA,1,100,0.030305,0.030305
345163,52960,2,EL,1,100,26438.000000,26438.000000
345157,52961,1,T1,1,100,32.112
345171,52962,1,TH,1,100,30.221
345164,52963,2,AX,1,100,0.094,0.096
345164,52964,2,AY,1,100,-0.011,-0.013
345164,52965,2,AZ,1,100,1.025,1.025
345164,52966,2,GX,1,100,0.427,0.427
345164,52967,2,GY,1,100,0.671,0.671
"
2025-10-24T08:54:38.964Z,1761296078964,10.0.0.191,3132,"345164,52968,2,GZ,1,100,0.305,0.336
345164,52969,2,MX,1,100,-9,-9
345164,52970,2,MY,1,100,-16,-16
345164,52971,2,MZ,1,100,116,116
345129,52972,1,BV,1,100,3.51
345129,52973,1,B%,1,100,16
"
2025-10-24T08:54:38.964Z,1761296078964,10.0.0.191,3132,"345253,52974,4,EM,1,100,RS,RE,PS,MN
"
2025-10-24T08:54:38.983Z,1761296078983,10.0.0.191,3132,"345253,52974,4,EM,1,100,RS,RE,PS,MN
345258,52975,2,PI,1,100,6380,6384
345258,52976,2,PR,1,100,7268,7289
345258,52977,2,PG,1,100,1039,1050
345230,52978,1,EA,1,100,0.030305
345230,52979,1,EL,1,100,26438.000000
345284,52980,3,AX,1,100,0.094,0.095,0.094
345284,52981,3,AY,1,100,-0.013,-0.011,-0.010
345284,52982,3,AZ,1,100,1.026,1.026,1.026
345284,52983,3,GX,1,100,0.488,0.458,0.458
345284,52984,3,GY,1,100,0.641,0.671,0.671
345284,52985,3,GZ,1,100,0.305,0.336,0.305
345284,52986,3,MX,1,100,-8,-9,-9
"
2025-10-24T08:54:38.984Z,1761296078984,10.0.0.191,3132,"345284,52987,3,MY,1,100,-16,-17,-18
345284,52988,3,MZ,1,100,117,115,116
"
